Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.086424	0	0	0	LastDelay	0.086424	86424	1	3
0.086424	0	0	0	FullDelay	0.086424	86424	1	3
1.3371	0	0	0	LastDelay	0.087096	87096	1	3
1.3371	0	0	0	FullDelay	0.087096	87096	1	3
1.83642	0	0	1	LastDelay	0.086424	86424	1	3
1.83642	0	0	1	FullDelay	0.086424	86424	1	3
3.0871	0	0	1	LastDelay	0.087096	87096	1	3
3.0871	0	0	1	FullDelay	0.087096	87096	1	3
3.58642	0	0	2	LastDelay	0.086424	86424	1	3
3.58642	0	0	2	FullDelay	0.086424	86424	1	3
4.8371	0	0	2	LastDelay	0.087096	87096	1	3
4.8371	0	0	2	FullDelay	0.087096	87096	1	3
5.33642	0	0	3	LastDelay	0.086424	86424	1	3
5.33642	0	0	3	FullDelay	0.086424	86424	1	3
6.5871	0	0	3	LastDelay	0.087096	87096	1	3
6.5871	0	0	3	FullDelay	0.087096	87096	1	3
7.08642	0	0	4	LastDelay	0.086424	86424	1	3
7.08642	0	0	4	FullDelay	0.086424	86424	1	3
8.3371	0	0	4	LastDelay	0.087096	87096	1	3
8.3371	0	0	4	FullDelay	0.087096	87096	1	3
8.83642	0	0	5	LastDelay	0.086424	86424	1	3
8.83642	0	0	5	FullDelay	0.086424	86424	1	3
10.0871	0	0	5	LastDelay	0.087096	87096	1	3
10.0871	0	0	5	FullDelay	0.087096	87096	1	3
10.5864	0	0	6	LastDelay	0.086424	86424	1	3
10.5864	0	0	6	FullDelay	0.086424	86424	1	3
11.8371	0	0	6	LastDelay	0.087096	87096	1	3
11.8371	0	0	6	FullDelay	0.087096	87096	1	3
12.3364	0	0	7	LastDelay	0.086424	86424	1	3
12.3364	0	0	7	FullDelay	0.086424	86424	1	3
13.5871	0	0	7	LastDelay	0.087096	87096	1	3
13.5871	0	0	7	FullDelay	0.087096	87096	1	3
14.0864	0	0	8	LastDelay	0.086424	86424	1	3
14.0864	0	0	8	FullDelay	0.086424	86424	1	3
15.3371	0	0	8	LastDelay	0.087096	87096	1	3
15.3371	0	0	8	FullDelay	0.087096	87096	1	3
15.8364	0	0	9	LastDelay	0.086424	86424	1	3
15.8364	0	0	9	FullDelay	0.086424	86424	1	3
17.0871	0	0	9	LastDelay	0.087096	87096	1	3
17.0871	0	0	9	FullDelay	0.087096	87096	1	3
17.5864	0	0	10	LastDelay	0.086424	86424	1	3
17.5864	0	0	10	FullDelay	0.086424	86424	1	3
18.8371	0	0	10	LastDelay	0.087096	87096	1	3
18.8371	0	0	10	FullDelay	0.087096	87096	1	3
19.3364	0	0	11	LastDelay	0.086424	86424	1	3
19.3364	0	0	11	FullDelay	0.086424	86424	1	3
